ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
465,vectorized_elementwise_kernel,0.04,108,0.61,0.21,6.19,100,0,85.97
466,vectorized_elementwise_kernel,7.45,108,44.41,37.20,73.03,100,0,51.35
467,layer_norm_grad_input_kernel_vectorized,37.55,108,64.60,64.60,65.18,75,44.56,53.61
468,GammaBetaBackwardCUDAKernel_32x32,12.19,108,38.14,38.14,49.91,100,0.09,18.63
469,vectorized_elementwise_kernel,6.53,108,71.22,71.22,88.00,100,29.50,40.86
470,vectorized_elementwise_kernel,0.02,108,0.46,0.09,6.19,100,0,90.65
471,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.21,100,0,90.61
472,vectorized_elementwise_kernel,15.45,108,66.70,66.70,84.48,100,0,54.47
473,ampere_sgemm_128x32_tn,87.82,108,80.25,2.46,45.63,50,0.51,97.40
474,ampere_sgemm_64x32_sliced1x4_nt,82.06,108,46.77,6.03,20.83,25,0.08,81.44
475,reduce_kernel,9.09,108,33.39,33.39,41.73,62.50,8.26,7.04
476,vectorized_elementwise_kernel,0.02,108,0.51,0.09,6.19,100,0,90.08
477,vectorized_elementwise_kernel,4.09,108,22.92,18.48,43.20,100,0,53.55
478,vectorized_elementwise_kernel,6.42,108,74.03,74.03,87.57,100,0,46.06
479,reduce_kernel,75.88,108,23.98,23.98,90.22,100,10.44,8.90
480,elementwise_kernel,6.04,108,12.46,3.19,20.45,100,0,86.90
481,vectorized_elementwise_kernel,14.49,108,24.15,4.43,9.28,100,0,99.77
482,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,36.68,108,29.93,11.09,12.18,12.50,16.92,81.96
483,CatArrayBatchedCopy_aligned16_contig,58.54,108,74.96,74.96,90.76,100,60.00,62.97
484,ampere_sgemm_128x32_tn,88.68,108,80.07,2.25,45.64,50,0.18,97.08
485,ampere_sgemm_128x32_sliced1x4_nt,98.08,108,40.39,4.94,12.50,12.50,0,84.72
486,reduce_kernel,12.16,108,50.64,50.64,56.26,62.50,6.38,19.90
487,vectorized_elementwise_kernel,0.04,108,0.59,0.17,6.12,100,0,85.65
488,vectorized_elementwise_kernel,6.29,108,38.46,32.06,67.43,100,0,51.74
489,layer_norm_grad_input_kernel_vectorized,37.23,108,65.28,65.28,65.14,75,44.62,53.78
490,GammaBetaBackwardCUDAKernel_32x32,12.19,108,38.08,38.08,49.91,100,0.09,18.96
491,vectorized_elementwise_kernel,6.59,108,72.16,72.16,88.18,100,29.09,41.04
492,vectorized_elementwise_kernel,0.02,108,0.46,0.09,6.19,100,0,89.68
493,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100,0,91.69
494,vectorized_elementwise_kernel,15.72,108,67.47,67.47,84.30,100,0,54.26
495,ampere_sgemm_128x64_tn,95.88,108,48.16,2.05,23.96,25,0.36,98.57
496,ampere_sgemm_128x128_nt,98.47,108,31.88,3.99,23.45,25,0.04,77.65
497,reduce_kernel,9.16,108,32.72,32.72,41.50,62.50,8.28,6.94
498,vectorized_elementwise_kernel,0.02,108,0.52,0.09,6.21,100,0,89.83
499,vectorized_elementwise_kernel,7.06,108,45.08,37.71,73.01,100,0,52.22
500,vectorized_elementwise_kernel,6.47,108,87.00,87.00,91.99,100,0,49.12
501,vectorized_elementwise_kernel,6.49,108,86.72,86.72,92.23,100,0,48.74
502,vectorized_elementwise_kernel,7.86,108,87.36,87.36,91.99,100,0,48.78
503,vectorized_elementwise_kernel,8.58,108,84.00,84.00,88.57,100,0,61.68
504,vectorized_elementwise_kernel,8.58,108,83.81,83.81,88.57,100,0,61.77
505,vectorized_elementwise_kernel,8.55,108,83.24,83.24,89.21,100,0,61.18
506,vectorized_elementwise_kernel,8.54,108,83.94,83.94,88.77,100,0,61.80
507,vectorized_elementwise_kernel,6.49,108,86.67,86.67,92.08,100,0,48.63
508,vectorized_elementwise_kernel,6.47,108,85.94,85.94,91.87,100,27.67,44.06
509,vectorized_elementwise_kernel,8.55,108,84.26,84.26,88.68,100,0,61.69
510,vectorized_elementwise_kernel,6.50,108,86.19,86.19,91.82,100,27.56,44.24
511,ampere_sgemm_128x32_tn,89.05,108,80.28,2.45,45.63,50,0.13,96.76
512,ampere_sgemm_64x32_sliced1x4_nt,92.98,108,53.02,6.38,23.89,25,0.08,82.50
513,reduce_kernel,11.50,108,57.59,57.59,57.77,62.50,4.88,20.63
514,vectorized_elementwise_kernel,0.04,108,0.65,0.21,6.13,100,0,84.60
515,vectorized_elementwise_kernel,7.18,108,44.44,37.25,73.06,100,0,51.87
516,layer_norm_grad_input_kernel_vectorized,37.39,108,65.11,65.11,65.20,75,44.03,54.92
517,GammaBetaBackwardCUDAKernel_32x32,12.20,108,38.08,38.08,49.91,100,0.09,19.21
518,vectorized_elementwise_kernel,6.61,108,70.91,70.91,88.43,100,29.20,40.61
519,vectorized_elementwise_kernel,0.02,108,0.50,0.09,6.03,100,0,90.38
520,vectorized_elementwise_kernel,0.02,108,0.74,0.09,6.20,100,0,90.69
521,vectorized_elementwise_kernel,15.63,108,66.34,66.34,84.63,100,0,54.38
522,ampere_sgemm_128x32_tn,87.77,108,80.22,2.45,45.64,50,0.52,97.42
